id,lat,lng,street_count
79,21.0080615,105.8272568,2
80,21.0065914,105.8306082,3
81,21.0062207,105.8375751,3
82,21.0064716,105.8375874,3
83,21.0016749,105.8411606,2
84,21.0079136,105.835249,2
85,21.0046693,105.8267871,1
86,21.0052113,105.8255933,3
87,21.0061365,105.8235974,2
88,21.0062834,105.8234419,2
89,21.0063568,105.8261513,4
90,21.0067615,105.8231971,3
91,21.0030372,105.8209319,3
92,21.0031275,105.8205363,2
93,21.0031869,105.8207108,2
94,21.0033001,105.8207165,2
95,21.0033732,105.8207826,3
96,21.0037795,105.8212909,2
97,21.0039796,105.8215448,3
98,21.0041975,105.8218166,2
99,21.0042935,105.8219245,2
100,21.0044497,105.8220767,3
101,21.0047302,105.8222675,2
102,21.0048548,105.8223217,3
103,21.0092908,105.8244986,4
104,21.007045,105.8413254,3
105,21.0072019,105.8411998,2
106,21.0073795,105.841021,2
107,21.0076693,105.8407052,3
108,20.9994782,105.8358265,2
109,20.9997351,105.8356572,2
110,20.9999646,105.8355199,2
111,21.0002407,105.8353638,2
112,21.0006907,105.8351564,2
113,21.0011285,105.8348897,2
114,21.0012407,105.834804,4
115,21.0013057,105.8351508,2
116,21.0015057,105.8359904,3
117,21.0015257,105.837473,2
118,21.0015498,105.8362421,3
119,21.0015521,105.8372829,2
120,21.0047385,105.8286033,2
121,21.0052119,105.8275868,3
122,21.0070673,105.8295224,3
123,21.0121079,105.8261096,2
124,21.0076004,105.8410389,2
125,21.0078235,105.8402267,3
126,21.0079834,105.8391407,2
127,21.0099262,105.8371762,3
128,21.0106055,105.8365444,4
129,21.0108251,105.8369867,4
130,21.0080304,105.8354258,3
131,21.0082022,105.8352788,3
132,21.0083218,105.835173,3
133,21.0083741,105.83625,3
134,21.0085546,105.8360841,4
135,21.0085787,105.8349456,3
136,21.009495,105.8352194,3
137,21.0030394,105.8412283,3
138,21.0044181,105.8340344,3
139,21.0045946,105.8347557,4
140,21.00481,105.835639,3
141,21.0081797,105.839558,2
142,21.0086192,105.8390015,2
143,21.0031935,105.8351851,3
144,21.0034368,105.8333388,1
145,21.0036744,105.8370455,3
146,21.0038572,105.8349817,4
147,21.0039344,105.8369795,2
148,21.0040786,105.8358462,3
149,21.0043331,105.8369088,2
150,21.0049826,105.8367868,2
151,21.0049926,105.8346337,3
152,21.005467,105.8366086,3
153,21.005873,105.8358103,3
154,21.0058256,105.8363536,2
155,21.0058479,105.8360788,2
156,21.0059028,105.8364815,3
157,21.0063474,105.8355282,3
158,21.0064302,105.8379659,4
159,21.0075279,105.8327433,3
160,21.0086164,105.8341507,3
161,21.0086949,105.8340754,4
162,21.0109806,105.8367882,2
163,21.0111615,105.8367893,2
164,21.0113025,105.8367718,3
165,21.014199,105.834042,4
166,21.0118709,105.8282054,4
167,21.0075596,105.8413008,4
168,21.0082463,105.8396046,2
169,21.0094658,105.8381595,2
170,21.0061748,105.8356538,2
171,21.0077076,105.8370409,3
172,21.0061473,105.8311916,4
173,21.0080473,105.8238278,3
174,21.0099099,105.8248203,2
175,21.0109781,105.8298128,3
176,21.0041199,105.8255086,3
177,21.005017,105.8260116,3
178,21.0073278,105.8287027,3
179,21.008971,105.8247865,3
180,21.0068632,105.8297112,3
181,21.0080031,105.8272261,3
182,21.0061784,105.8311035,4
183,21.006531,105.8304293,2
184,21.0086668,105.8257309,3
185,21.0091334,105.8244253,4
186,21.0076605,105.8279926,3
187,21.0005809,105.8412798,2
188,21.0008729,105.84123,3
189,21.0089278,105.8246206,2
190,21.0055474,105.8277666,3
191,21.0041204,105.8303312,4
192,21.0040287,105.8322107,3
193,21.0044219,105.8304416,3
194,21.005092,105.8323166,3
195,21.0054227,105.8308146,3
196,21.0043188,105.8322633,3
197,21.0045897,105.8322266,3
198,21.0052903,105.8314027,3
199,21.0090684,105.8324531,3
200,21.0115019,105.8339582,2
201,21.0107383,105.8332158,3
202,21.0103229,105.8310199,3
203,21.0098374,105.8321006,4
204,21.0103625,105.8318945,3
205,21.0106006,105.8318017,2
206,21.0119927,105.8337544,2
207,21.0101008,105.8311112,3
208,21.0095462,105.8313437,3
209,21.0098211,105.8312331,3
210,21.0100899,105.8320008,4
211,21.0102199,105.8337232,3
212,21.006079,105.8347368,3
213,21.0059141,105.8331048,4
214,21.0007608,105.8384611,2
215,21.000953,105.8387459,3
216,21.0007925,105.8383551,2
217,21.0013646,105.8383551,2
218,21.0013646,105.8388959,2
219,21.0018577,105.8409163,3
220,21.0016568,105.8409157,3
221,21.0017196,105.8388986,3
222,21.0033256,105.8343197,3
223,21.0035242,105.8350838,4
224,21.0036632,105.8342242,3
225,21.0037513,105.8359453,3
226,21.0041156,105.8343585,1
227,21.004242,105.8348637,4
228,21.0042874,105.8357868,3
229,21.0044728,105.8364702,1
230,21.0044608,105.8357381,3
231,21.0046505,105.8356848,3
232,21.0047811,105.8338366,3
233,21.0048192,105.8364345,1
234,21.0052226,105.8355193,3
235,21.0057675,105.8353592,3
236,21.0059273,105.8328841,3
237,21.005915,105.8327861,4
238,21.0062214,105.8328429,3
239,21.0062479,105.8330106,4
240,21.0063053,105.8331488,2
241,21.0062955,105.8346466,3
242,21.0063982,105.8340488,2
243,21.0064072,105.8328073,3
244,21.0064392,105.8329883,3
245,21.0064956,105.8339929,3
246,21.0064826,105.8344907,3
247,21.006521,105.8371803,3
248,21.0065439,105.8331195,2
249,21.0067134,105.8331848,2
250,21.0067958,105.8328028,1
251,21.0068057,105.8352671,3
252,21.0069549,105.8334498,2
253,21.0070139,105.8350694,3
254,21.0069834,105.8364759,2
255,21.006983,105.83227,2
256,21.0070954,105.8363268,4
257,21.007166,105.8332736,3
258,21.0072298,105.8333397,2
259,21.0077067,105.8344311,3
260,21.0077463,105.8354845,3
